Tjedan,kako se ubiti: (Hrvatska)
05/01/2014,0
12/01/2014,0
19/01/2014,0
26/01/2014,0
02/02/2014,0
09/02/2014,21
16/02/2014,21
23/02/2014,33
02/03/2014,22
09/03/2014,23
16/03/2014,23
23/03/2014,22
30/03/2014,0
06/04/2014,0
13/04/2014,0
20/04/2014,0
27/04/2014,0
04/05/2014,23
11/05/2014,43
18/05/2014,100
25/05/2014,25
01/06/2014,25
08/06/2014,0
15/06/2014,0
22/06/2014,0
29/06/2014,0
06/07/2014,0
13/07/2014,0
20/07/2014,0
27/07/2014,0
03/08/2014,27
10/08/2014,52
17/08/2014,0
24/08/2014,0
31/08/2014,0
07/09/2014,23
14/09/2014,24
21/09/2014,0
28/09/2014,25
05/10/2014,0
12/10/2014,0
19/10/2014,0
26/10/2014,25
02/11/2014,24
09/11/2014,0
16/11/2014,25
23/11/2014,0
30/11/2014,0
07/12/2014,0
14/12/2014,0
21/12/2014,0
28/12/2014,26
04/01/2015,23
11/01/2015,22
18/01/2015,21
25/01/2015,22
01/02/2015,42
08/02/2015,0
15/02/2015,23
22/02/2015,45
01/03/2015,0
08/03/2015,0
15/03/2015,24
22/03/2015,49
29/03/2015,0
05/04/2015,24
12/04/2015,0
19/04/2015,25
26/04/2015,0
03/05/2015,24
10/05/2015,0
17/05/2015,0
24/05/2015,0
31/05/2015,48
07/06/2015,23
14/06/2015,68
21/06/2015,24
28/06/2015,23
05/07/2015,22
12/07/2015,0
19/07/2015,0
26/07/2015,0
02/08/2015,0
09/08/2015,22
16/08/2015,21
23/08/2015,22
30/08/2015,0
06/09/2015,0
13/09/2015,22
20/09/2015,44
27/09/2015,0
04/10/2015,22
11/10/2015,0
18/10/2015,0
25/10/2015,22
01/11/2015,0
08/11/2015,22
15/11/2015,0
22/11/2015,22
29/11/2015,0
06/12/2015,0
13/12/2015,23
20/12/2015,25
27/12/2015,25
03/01/2016,24
10/01/2016,0
17/01/2016,24
24/01/2016,0
31/01/2016,0
07/02/2016,0
14/02/2016,0
21/02/2016,23
28/02/2016,23
06/03/2016,23
13/03/2016,0
20/03/2016,24
27/03/2016,38
03/04/2016,25
10/04/2016,0
17/04/2016,0
24/04/2016,0
01/05/2016,24
08/05/2016,0
15/05/2016,0
22/05/2016,26
29/05/2016,24
05/06/2016,24
12/06/2016,0
19/06/2016,25
26/06/2016,24
03/07/2016,24
10/07/2016,24
17/07/2016,25
24/07/2016,0
31/07/2016,0
07/08/2016,25
14/08/2016,0
21/08/2016,0
28/08/2016,0
04/09/2016,0
11/09/2016,49
18/09/2016,26
25/09/2016,27
02/10/2016,26
09/10/2016,0
16/10/2016,26
23/10/2016,0
30/10/2016,0
06/11/2016,25
13/11/2016,26
20/11/2016,25
27/11/2016,0
04/12/2016,0
11/12/2016,26
18/12/2016,27
25/12/2016,0
01/01/2017,25
08/01/2017,24
15/01/2017,23
22/01/2017,24
29/01/2017,0
05/02/2017,23
12/02/2017,0
19/02/2017,0
26/02/2017,0
05/03/2017,22
12/03/2017,24
19/03/2017,0
26/03/2017,25
02/04/2017,72
09/04/2017,25
16/04/2017,0
23/04/2017,23
30/04/2017,37
07/05/2017,47
14/05/2017,0
21/05/2017,25
28/05/2017,26
04/06/2017,49
11/06/2017,25
18/06/2017,74
25/06/2017,0
02/07/2017,0
09/07/2017,23
16/07/2017,0
23/07/2017,23
30/07/2017,0
06/08/2017,0
13/08/2017,0
20/08/2017,44
27/08/2017,0
03/09/2017,33
10/09/2017,22
17/09/2017,0
24/09/2017,47
01/10/2017,24
08/10/2017,25
15/10/2017,24
22/10/2017,0
29/10/2017,24
05/11/2017,23
12/11/2017,45
19/11/2017,23
26/11/2017,0
03/12/2017,24
10/12/2017,23
17/12/2017,25
24/12/2017,0
31/12/2017,24
07/01/2018,0
14/01/2018,22
21/01/2018,0
28/01/2018,0
04/02/2018,0
11/02/2018,0
18/02/2018,0
25/02/2018,21
04/03/2018,22
11/03/2018,21
18/03/2018,0
25/03/2018,23
01/04/2018,24
08/04/2018,24
15/04/2018,47
22/04/2018,24
29/04/2018,0
06/05/2018,22
13/05/2018,22
20/05/2018,22
27/05/2018,23
03/06/2018,21
10/06/2018,0
17/06/2018,0
24/06/2018,30
01/07/2018,19
08/07/2018,19
15/07/2018,0
22/07/2018,19
29/07/2018,19
05/08/2018,0
12/08/2018,0
19/08/2018,19
26/08/2018,19
02/09/2018,0
09/09/2018,21
16/09/2018,0
23/09/2018,22
30/09/2018,22
07/10/2018,34
14/10/2018,0
21/10/2018,0
28/10/2018,22
04/11/2018,0
11/11/2018,23
18/11/2018,44
25/11/2018,0
02/12/2018,23
09/12/2018,44
16/12/2018,34
23/12/2018,0
30/12/2018,24
